date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
26-04-2025,Kerala,Kollam,1,PM10,73,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-04-2025,Kerala,Eloor,1,CO,67,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-04-2025,Kerala,Thiruvananthapuram,2,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-04-2025,Kerala,Thrissur,1,PM10,64,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-04-2025,Kerala,Eloor,1,CO,72,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-04-2025,Kerala,Thiruvananthapuram,1,PM10,74,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-04-2025,Kerala,Kannur,1,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-04-2025,Kerala,Thrissur,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-04-2025,Kerala,Kollam,1,PM10,73,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-04-2025,Kerala,Kollam,1,PM10,73,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-04-2025,Kerala,Thiruvananthapuram,1,PM10,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-04-2025,Kerala,Kannur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-04-2025,Kerala,Kannur,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-04-2025,Kerala,Thiruvananthapuram,2,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-04-2025,Kerala,Kannur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-04-2025,Kerala,Eloor,1,PM2.5,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-04-2025,Kerala,Thiruvananthapuram,2,PM10,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-04-2025,Kerala,Kannur,1,PM10,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-04-2025,Kerala,Thrissur,1,PM10,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-04-2025,Kerala,Eloor,1,CO,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-04-2025,Kerala,Kollam,1,PM10,73,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-04-2025,Kerala,Thiruvananthapuram,2,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-04-2025,Kerala,Thrissur,1,PM10,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-04-2025,Kerala,Kollam,1,PM10,74,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-04-2025,Kerala,Kannur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-04-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-04-2025,Kerala,Eloor,1,PM2.5,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-04-2025,Kerala,Kollam,1,PM10,72,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-04-2025,Kerala,Kannur,1,PM10,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-04-2025,Kerala,Eloor,1,CO,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-04-2025,Kerala,Thrissur,1,PM10,68,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-04-2025,Kerala,Thiruvananthapuram,2,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-04-2025,Kerala,Eloor,1,PM2.5,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-04-2025,Kerala,Thiruvananthapuram,2,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-04-2025,Kerala,Kollam,1,PM10,74,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-04-2025,Kerala,Thrissur,1,PM10,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-04-2025,Kerala,Kannur,1,PM10,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-04-2025,Kerala,Thrissur,1,PM10,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-04-2025,Kerala,Eloor,1,PM2.5,71,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-04-2025,Kerala,Kollam,1,PM10,74,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-04-2025,Kerala,Thiruvananthapuram,2,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-04-2025,Kerala,Kannur,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-04-2025,Kerala,Thiruvananthapuram,2,PM10,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-04-2025,Kerala,Kollam,1,PM10,73,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-04-2025,Kerala,Thrissur,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-04-2025,Kerala,Eloor,1,PM2.5,77,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-04-2025,Kerala,Eloor,1,PM2.5,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-04-2025,Kerala,Kollam,1,PM10,73,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-04-2025,Kerala,Thiruvananthapuram,2,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-04-2025,Kerala,Thrissur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-04-2025,Kerala,Thiruvananthapuram,2,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-04-2025,Kerala,Kollam,1,PM10,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-04-2025,Kerala,Eloor,1,PM2.5,73,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-04-2025,Kerala,Thrissur,1,PM10,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-04-2025,Kerala,Thiruvananthapuram,2,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-04-2025,Kerala,Eloor,1,PM2.5,65,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-04-2025,Kerala,Thrissur,1,PM10,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-04-2025,Kerala,Kannur,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-04-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-04-2025,Kerala,Thrissur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-04-2025,Kerala,Eloor,1,PM2.5,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-04-2025,Kerala,Kannur,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-04-2025,Kerala,Kollam,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-04-2025,Kerala,Thrissur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-04-2025,Kerala,Thiruvananthapuram,2,PM10,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-04-2025,Kerala,Eloor,1,PM2.5,65,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-04-2025,Kerala,Kollam,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-04-2025,Kerala,Kannur,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-04-2025,Kerala,Kannur,1,PM10,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-04-2025,Kerala,Kollam,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-04-2025,Kerala,Eloor,1,PM2.5,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-04-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-04-2025,Kerala,Kollam,1,PM10,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-04-2025,Kerala,Eloor,1,PM2.5,65,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-04-2025,Kerala,Thrissur,1,PM10,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-04-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-04-2025,Kerala,Kannur,1,PM10,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-04-2025,Kerala,Kannur,1,PM10,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-04-2025,Kerala,Kollam,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-04-2025,Kerala,Thrissur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-04-2025,Kerala,Thiruvananthapuram,2,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-04-2025,Kerala,Eloor,1,PM2.5,79,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-04-2025,Kerala,Kollam,1,PM10,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-04-2025,Kerala,Thiruvananthapuram,2,PM10,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-04-2025,Kerala,Thrissur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-04-2025,Kerala,Kannur,1,PM10,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-04-2025,Kerala,Kollam,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-04-2025,Kerala,Thiruvananthapuram,2,PM10,42,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-04-2025,Kerala,Kannur,1,PM10,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-04-2025,Kerala,Thrissur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-04-2025,Kerala,Eloor,1,PM2.5,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-04-2025,Kerala,Kollam,1,PM10,64,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-04-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",42,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-04-2025,Kerala,Thrissur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-04-2025,Kerala,Kannur,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-04-2025,Kerala,Eloor,1,PM2.5,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-04-2025,Kerala,Thrissur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-04-2025,Kerala,Kannur,1,PM10,109,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-04-2025,Kerala,Thiruvananthapuram,2,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-04-2025,Kerala,Thrissur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-04-2025,Kerala,Kannur,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-04-2025,Kerala,Thiruvananthapuram,2,PM10,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-04-2025,Kerala,Eloor,1,PM2.5,69,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-04-2025,Kerala,Kollam,1,PM10,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-04-2025,Kerala,Thiruvananthapuram,2,PM10,65,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-04-2025,Kerala,Kannur,1,PM10,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-04-2025,Kerala,Eloor,1,PM2.5,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-04-2025,Kerala,Kollam,1,PM10,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-04-2025,Kerala,Thrissur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-04-2025,Kerala,Kannur,1,PM10,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-04-2025,Kerala,Kollam,1,PM10,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-04-2025,Kerala,Eloor,1,PM2.5,66,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-04-2025,Kerala,Thrissur,1,PM10,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-04-2025,Kerala,Thiruvananthapuram,2,PM10,72,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-03-2025,Kerala,Kannur,1,PM10,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-03-2025,Kerala,Thrissur,1,PM10,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-03-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",74,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-03-2025,Kerala,Kollam,1,PM10,71,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-03-2025,Kerala,Thrissur,1,PM10,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-03-2025,Kerala,Kollam,1,PM10,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-03-2025,Kerala,Thiruvananthapuram,2,PM10,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-03-2025,Kerala,Kannur,1,PM10,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-03-2025,Kerala,Eloor,1,PM2.5,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-03-2025,Kerala,Kollam,1,PM10,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-03-2025,Kerala,Thiruvananthapuram,2,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-03-2025,Kerala,Thrissur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-03-2025,Kerala,Kannur,1,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-03-2025,Kerala,Eloor,1,PM2.5,67,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-03-2025,Kerala,Thrissur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-03-2025,Kerala,Thiruvananthapuram,2,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-03-2025,Kerala,Kannur,1,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-03-2025,Kerala,Thiruvananthapuram,2,PM10,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-03-2025,Kerala,Eloor,1,PM2.5,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-03-2025,Kerala,Kannur,1,PM10,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-03-2025,Kerala,Thrissur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-03-2025,Kerala,Kollam,1,PM10,71,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-03-2025,Kerala,Thiruvananthapuram,2,PM10,64,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-03-2025,Kerala,Thrissur,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-03-2025,Kerala,Eloor,1,PM2.5,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-03-2025,Kerala,Kollam,1,PM10,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-03-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",67,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-03-2025,Kerala,Kannur,1,PM10,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-03-2025,Kerala,Eloor,1,PM2.5,74,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-03-2025,Kerala,Thrissur,1,PM10,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-03-2025,Kerala,Kollam,1,PM10,71,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-03-2025,Kerala,Eloor,1,PM2.5,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-03-2025,Kerala,Kollam,1,PM10,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-03-2025,Kerala,Thiruvananthapuram,2,PM10,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-03-2025,Kerala,Kannur,1,PM10,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-03-2025,Kerala,Kannur,1,PM10,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-03-2025,Kerala,Eloor,1,PM2.5,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-03-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",86,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-03-2025,Kerala,Kannur,1,PM10,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-03-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",253,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-03-2025,Kerala,Thrissur,1,PM10,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-03-2025,Kerala,Eloor,1,CO,79,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-03-2025,Kerala,Thrissur,1,PM10,64,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-03-2025,Kerala,Eloor,1,PM2.5,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-03-2025,Kerala,Kollam,1,PM10,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-03-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",258,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-03-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",240,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-03-2025,Kerala,Thrissur,1,PM10,65,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-03-2025,Kerala,Kannur,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-03-2025,Kerala,Eloor,1,CO,76,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-03-2025,Kerala,Kollam,1,PM10,71,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-03-2025,Kerala,Thrissur,1,PM10,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-03-2025,Kerala,Eloor,1,PM2.5,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-03-2025,Kerala,Kollam,1,PM10,71,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-03-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",160,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-03-2025,Kerala,Eloor,1,PM2.5,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-03-2025,Kerala,Thrissur,1,PM10,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-03-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",111,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-03-2025,Kerala,Thrissur,1,PM10,69,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-03-2025,Kerala,Thiruvananthapuram,2,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-03-2025,Kerala,Eloor,1,CO,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-03-2025,Kerala,Eloor,1,CO,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-03-2025,Kerala,Kannur,1,PM10,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-03-2025,Kerala,Kollam,1,PM10,71,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-03-2025,Kerala,Thrissur,1,PM10,68,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-03-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",66,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-03-2025,Kerala,Thiruvananthapuram,2,PM10,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-03-2025,Kerala,Thrissur,1,PM10,64,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-03-2025,Kerala,Kollam,1,PM10,71,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-03-2025,Kerala,Eloor,1,PM2.5,64,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-03-2025,Kerala,Kannur,1,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-03-2025,Kerala,Thrissur,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-03-2025,Kerala,Eloor,1,PM2.5,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-03-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",173,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-03-2025,Kerala,Kollam,1,PM10,71,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-03-2025,Kerala,Kannur,1,PM10,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-03-2025,Kerala,Eloor,1,PM2.5,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-03-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",67,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-03-2025,Kerala,Eloor,1,PM2.5,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-03-2025,Kerala,Thiruvananthapuram,2,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-03-2025,Kerala,Kannur,1,PM10,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-03-2025,Kerala,Kollam,1,PM10,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-03-2025,Kerala,Kannur,1,PM10,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-03-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",136,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
